Generation types,AL00,AT00,BA00,BE00,BEOF,BG00,CH00,CY00,CZ00,DE00,DEKF,DKBH,DKE1,DKKF,DKNS,DKW1,DZ00,EE00,EEOF,EG00,ES00,FI00,FR00,FR15,GE00,GR00,GR03,HR00,HU00,IE00,IL00,ITA0,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,LT00,LTOF,LUB1,LUF1,LUG1,LUV1,LV00,LY00,MA00,MD00,ME00,MK00,MT00,NL00,NL60,NL6H,NLA0,NLBH,NLLL,NOM1,NON1,NOS0,PL00,PS00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TN00,TR00,UA00,UK00,UKNI
Nuclear,0,0,0,0,0,2000,0,0,3277.6,0,0,0,0,0,0,0,0,0,0,2400,0,3380,37847,0,0,0,0,0,2360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6660,0,0,3087,0,0,0,2572,0,1100,3095.668,0,8912,13835,15272,0
Hard coal old 1,0,0,0,0,0,0,0,0,0,0,0,0,393.12,0,0,355.8863432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19797,70,0
Hard coal old 2,0,0,0,354.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,833,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
Hard coal new,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,0,0,0,0,0,0,0,0,0,99.502,0,1320,0,0,0
Hard coal CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lignite old 1,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534.148,0,0,0,0,0,18.514,0,0,0,0,18
Lignite old 2,0,0,275,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,539,0,0,0,0,0,0
Lignite new,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,66.375,0,2400,0,0,0
Lignite CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Conventional old 1,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,308.912,218,0,0,0,0,0,16.716,300,0,5400,194.18,0
Gas Conventional old 2,0,0,0,807,0,0,0,97.58,0,0,0,0,0,0,0,0,0,0,0,16663.5,0,0,0,0,250,0,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.343,0,0,0,201.5151984,0
Gas CCGT old 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.662,0,1650,0,0,0
Gas CCGT old 2,100,0,0,0,0,0,0,0,396,0,0,0,0,0,0,10.385,0,0,0,0,0,0,0,0,0,0,0,0,384,406.9565217,3960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,4400,0,0,539
Gas CCGT new,200,0,385,3390,0,1064,0,425.7,2161.5,9,0,0,0,0,0,0,13800,250,0,24900,0,0,0,0,0,4286,0,230,1786,2238.2,4140,0,3274,885,815,6041,120,0,1906,0,0,0,0,0,0,0,1570,450,0,0,699.5,0,0,0,0,0,0,0,0,0,0,6222.834352,200,0,5531.1,182.9,0,0,0,0,170,522.456,1350,30210,0,0,1030
Gas CCGT CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384,0
Gas OCGT old,0,0,0,0,0,0,0,0,0,0,0,0,110.984,0,0,380.931,2080,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,222.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,482,0,1200,0,0,1231,12
Gas OCGT new,0,0,0,244,0,20,0,0,131.1,0,0,0,86.4,0,0,34.4,4200,0,0,0,0,87,0,0,0,0,0,0,0,116,4200,0,0,216,2156,98,335,1107,1049,0,0,0,0,0,0,0,4849,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.8,0,0,0,0,0,0,0,900,8000,0,0,0
Light oil,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,151.8,0,0,0,574.4,0,0,0,284,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389
Heavy oil old 1,0,0,0,122,0,0,0,0,0,0,0,0,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,204.6616257,0
Heavy oil old 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0
