Generation types,AL00,AT00,BA00,BE00,BEOF,BG00,CH00,CY00,CZ00,DE00,DEKF,DKBH,DKE1,DKKF,DKNS,DKW1,DZ00,EE00,EEOF,EG00,ES00,FI00,FR00,FR15,GE00,GR00,GR03,HR00,HU00,IE00,IL00,ITA0,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,LT00,LTOF,LUB1,LUF1,LUG1,LUV1,LV00,LY00,MA00,MD00,ME00,MK00,MT00,NL00,NL60,NL6H,NLA0,NLBH,NLLL,NOM1,NON1,NOS0,PL00,PS00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TN00,TR00,UA00,UK00,UKNI
Nuclear,0.0,0.0,0.0,2.077,0.0,2.0,1.19,0.0,4.0472,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,2.4,5.100359999999999,4.394,61.761,0.0,0.0,0.0,0.0,0.0,3.097,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.739,0.0,0.0,0.0,6.883,0.0,0.696,2.814637264415849,0.0,4.46,13.835,5.51,0.0
Hard coal old 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0,0.48552,0.0,0,0.421066343156,0.0,0.0,0,0.0,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.1021,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.28,0.76,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,7.367979999999999,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.027085,0.0,3.75,19.797,0.0,0.0
Hard coal old 2,0.0,0.0,0.0,0.3544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0,0.357,0.0,0.0,0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,2.236,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,3.27621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,5.98,0.0,0.0,0.0
Hard coal new,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.43,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.472,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263441,0.0,1.32,0.0,0.0,0.0
Hard coal CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lignite old 1,0.0,0.0,1.063,0.0,0.0,1.904,0.0,0.0,2.639200000000002,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,4.696,0.0,0.0,0.0,3.771748000000001,0.0,0.0,0.0,0.0,0.0,0.018514,0.0,7.12,0.0,0.0,0.018
Lignite old 2,0.0,0.0,0.275,0.0,0.0,0.6,0.0,0.0,2.1066,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11209999999999999,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.824,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.539,0.0,0.0,1.86,0.0,0.0,0.0
Lignite new,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.066375,0.0,1.2,0.0,0.0,0.0
Lignite CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Conventional old 1,0.0,0.41433,0.0,0.0,0.0,0.968,0.0,0.366,0.0,0.10968000000000001,0.0,0,0.0,0.0,0,0.111706,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.0,0.288,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10416299999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1.1652,0.0,0.06,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.636912,0.218,0.0,0.0,0.0,0.0,0.0,0.016716,0.3,0.0,5.4,2.4487418115,0.0
Gas Conventional old 2,0.0,0.07945999999999999,0.0,0.871,0.0,0.0,0.0,0.09758000000000001,0.0,0.9450869999999999,0.0,0,0.0,0.0,0,0.37542000000000003,0.0,0.0,0,16.6635,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.042,0.0,0.0,1.17,0,0.0,0.0,0.022917,3.1563000000000003,0.0,0.0,0.0,0.11,0,0,0,0.0,0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071343,0.0,0.0,0.0,5.062137864,0.0
Gas CCGT old 1,0.0,0.3565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0,0,0.0,0.0,0,0.047200000000000006,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29419999999999996,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12329999999999999,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184662,0.0,8.51,0.0,0.0,0.0
